codigo_iata;ciudad
3AU;Augusta
52A;Madison
AAE;Annaba
AAL;Aalborg
AAN;Al Ain
AAR;Aarhus
ABE;Allentown
ABI;Abilene
ABQ;Albuquerque
ABR;Aberdeen
ABS;Abu Simbel
ABX;Albury
ABY;Albany
ABZ;Aberdeen
ACT;Waco
ACX;Xingyi
ACY;Atlantic City
ADA;Adana
ADQ;Kodiak
AER;Sochi
AEX;Alexandria
AEY;Akureyri
AFA;San Rafael
AFL;Alta Floresta
AFZ;Sabzevar
AGA;Agadir
AGC;Pittsburgh
AGR;Agra
AGU;Aguascalientes
AHB;Abha
AHE;Ahe
AIT;Aitutaki
AJA;Ajaccio
AJU;Aracaju
AKC;Akron
AKJ;Asahikawa
AKL;Auckland
AKN;King Salmon
AKO;Akron
ALB;Albany
ALC;Alicante
ALF;Alta
ALH;Albany
ALO;Waterloo
ALS;Alamosa
ALW;Walla Walla
ALY;Alexandria
AMA;Amarillo
AMD;Ahmedabad
AMH;Arba Minch
AMQ;Ambon
ANC;Anchorage
ANF;Antofagasta
ANI;Aniak
ANK;Ankara
ANS;Andahuaylas
AOH;Lima
AOI;Ancona
AOK;Karpathos
AOR;Alor Setar
APA;Denver
APG;Aberdeen
APL;Nampula
APN;Alpena
AQG;Anqing
AQP;Arequipa
ARK;Arusha
ARM;Armidale
ART;Watertown
ASE;Aspen
ASP;Alice Springs
ASR;Kayseri
ATL;Atlanta
ATM;Altamira
ATQ;Amritsar
ATW;Appleton
ATY;Watertown
AUG;Augusta
AUS;Austin
AUW;Wausau
AVL;Asheville
AVW;Tucson
AXM;Armenia
AXN;Alexandria
AXP;Spring Point
AXR;Arutua
AXT;Akita
AYP;Ayacucho
AYQ;Uluru
AYT;Antalya
AZD;Yazd
AZO;Kalamazoo
AZR;Adrar
BAD;Shreveport
BAL;Batman
BAQ;Barranquilla
BAU;Bauru
BAV;Baotou
BAY;Baia Mare
BBA;Balmaceda
BBK;Kasane
BBN;Bario
BCN;Barcelona
BDJ;Banjarmasin
BDO;Bandung
BEC;Wichita
BES;Brest
BET;Bethel
BEW;Beira
BEY;Beirut
BFH;Curitiba
BFI;Seattle
BFJ;Bijie
BFL;Bakersfield
BFM;Mobile
BFN;Bloemfontein
BGA;Bucaramanga
BGF;Bangui
BGI;Bridgetown
BGM;Binghamton
BGO;Bergen
BGR;Bangor
BHM;Birmingham
BHO;Bhopal
BHQ;Broken Hill
BHS;Bathurst
BHV;Bahawalpur
BHX;Birmingham
BHY;Beihai
BIA;Bastia
BIF;El Paso
BIK;Biak
BIL;Billings
BIO;Bilbao
BIS;Bismarck
BJI;Bemidji
BJL;Banjul
BJV;Bodrum
BKI;Kota Kinabalu
BKL;Cleveland
BKO;Bamako
BKQ;Blackall
BKS;Bengkulu
BKZ;Bukoba
BLA;Barcelona
BLI;Bellingham
BLJ;Batna
BLL;Billund
BLR;Bangalore
BLV;Belleville
BLZ;Blantyre
BME;Broome
BMG;Bloomington
BMI;Bloomington
BMT;Beaumont
BMU;Bima
BMW;Bordj Badji Mokhtar
BNA;Nashville
BNC;Beni
BNE;Brisbane
BOB;Bora Bora
BOH;Bournemouth
BOI;Boise
BOS;Boston
BPL;Bole
BPN;Balikpapan
BPS;Porto Seguro
BPT;Beaumont
BQK;Brunswick
BQN;Aguadilla
BQT;Brest
BRD;Brainerd
BRE;Bremen
BRI;Bari
BRL;Burlington
BRO;Brownsville
BRQ;Brno
BRS;Bristol
BRW;Barrow
BSB;Brasilia
BSG;Bata
BSK;Biskra
BTH;Batam
BTJ;Banda Aceh
BTM;Butte
BTR;Baton Rouge
BTS;Bratislava
BTU;Bintulu
BTV;Burlington
BUD;Budapest
BUQ;Bulawayo
BUR;Burbank
BUS;Batumi
BUU;Burlington
BUX;Bunia
BUZ;Bushehr
BVB;Boa Vista
BVC;Boa Vista
BVH;Vilhena
BWN;Bandar Seri Begawan
BWT;Burnie
BWU;Sydney
BXN;Bodrum
BZG;Bydgoszcz
BZN;Bozeman
BZV;Brazzaville
CAB;Cabinda
CAC;Cascavel
CAE;Columbia
CAG;Cagliari
CAK;Akron
CBB;Cochabamba
CBR;Canberra
CBT;Catumbela
CCS;Caracas
CCV;Craig Cove
CDB;Cold Bay
CDC;Cedar City
CDV;Cordova
CFE;Clermont-Ferrand
CGD;Changde
CGO;Zhengzhou
CGP;Chittagong
CGR;Campo Grande
CGX;Chicago
CHA;Chattanooga
CHC;Christchurch
CHG;Chaoyang
CHS;Charleston
CHY;Choiseul Bay
CID;Cedar Rapids
CIJ;Cobija
CIY;Comiso
CJA;Cajamarca
CJB;Coimbatore
CJC;Calama
CKB;Clarksburg
CKG;Chongqing
CKS;Parauapebas
CLE;Cleveland
CLL;College Station
CLO;Cali
CLQ;Colima
CLT;Charlotte
CLU;Columbus
CLV;Caldas Novas
CLY;Calvi
CMB;Colombo
CMH;Columbus
CMI;Champaign
CMN;Casablanca
CNJ;Cloncurry
CNS;Cairns
CNW;Waco
CNX;Chiang Mai
COS;Colorado Springs
COU;Columbia
CPA;Greenville
CPD;Coober Pedy
CPR;Casper
CRA;Craiova
CRD;Comodoro Rivadavia
CRG;Jacksonville
CRP;Corpus Christi
CRW;Charleston
CSG;Columbus
CTA;Catania
CTU;Chengdu
CUB;Columbia
CUE;Cuenca
CUF;Cuneo
CUU;Chihuahua
CUZ;Cuzco
CVG;Cincinnati
CVM;Ciudad Victoria
CWB;Curitiba
CWL;Cardiff
CXH;Vancouver
CXI;Kiritimati
CXR;Nha Trang
CXY;Harrisburg
CYO;Cayo Largo del Sur
CYR;Colonia
CZM;Cozumel
CZS;Cruzeiro do Sul
CZU;Corozal
CZX;Changzhou
DAB;Daytona Beach
DAT;Datong
DAU;Daru
DAW;Rochester
DAX;Dazhou
DAY;Dayton
DBO;Dubbo
DEA;Dera Ghazi Khan
DEE;Yuzhno-Kurilsk
DEN;Denver
DET;Detroit
DGO;Durango
DHN;Dothan
DIE;Antsiranana
DIK;Dickinson
DIL;Dili
DJB;Jambi
DJG;Djanet
DJJ;Jayapura
DKX;Knoxville
DLE;Dole
DLG;Dillingham
DLH;Duluth
DLM;Dalaman
DMA;Tucson
DMM;Dammam
DMU;Dimapur
DNL;Augusta
DNR;Dinard
DOM;Dominica
DOU;Dourados
DPS;Denpasar
DRO;Durango
DRW;Darwin
DSM;Des Moines
DTM;Dortmund
DTS;Destin
DTW;Detroit
DUD;Dunedin
DUR;Durban
DUT;Unalaska
DYS;Abilene
EBB;Entebbe
EBJ;Esbjerg
EBL;Erbil
ECP;Panama City
ECV;Madrid
EDF;Anchorage
EDL;Eldoret
EGC;Bergerac
EGT;Wellington
EIL;Fairbanks
EIN;Eindhoven
EJA;Barrancabermeja
EKO;Elko
ELC;Elcho Island
ELF;El Fasher
ELM;Elmira
ELP;El Paso
ELS;East London
ENA;Kenai
ENH;Enshi
ENU;Enugu
ENY;Yan'an
EOI;Eday
EQS;Esquel
ERI;Erie
ERS;Windhoek
ERZ;Erzurum
ESB;Ankara
ESC;Escanaba
ESF;Alexandria
ESM;Esmeraldas
ETR;Santa Rosa
EUG;Eugene
EUN;El Aaiún
EVG;Sveg
EVV;Evansville
EWN;New Bern
EWR;Newark
EXT;Exeter
EYP;Yopal
FAI;Fairbanks
FAO;Faro
FAR;Fargo
FAT;Fresno
FAV;Fakarava
FAY;Fayetteville
FBU;Oslo
FCA;Kalispell
FCI;Richmond
FFC;Atlanta
FFO;Dayton
FGI;Apia
FIH;Kinshasa
FKS;Fukushima
FLA;Florencia
FLL;Fort Lauderdale
FLO;Florence
FLR;Florence
FMA;Formosa
FMM;Memmingen
FMY;Fort Myers
FNA;Freetown
FNI;Nimes
FNT;Flint
FOC;Fuzhou
FOR;Fortaleza
FPO;Freeport
FRE;Fera Island
FRW;Francistown
FSD;Sioux Falls
FSM;Fort Smith
FTE;El Calafate
FTG;Denver
FTY;Atlanta
FUE;Fuerteventura
FUG;Fuyang
FUK;Fukuoka
FWA;Fort Wayne
FXE;Fort Lauderdale
FYV;Fayetteville
FZO;Bristol
GAJ;Yamagata
GAU;Guwahati
GCC;Gillette
GCI;Guernsey
GCK;Garden City
GCM;Georgetown
GDL;Guadalajara
GDN;Gdansk
GDQ;Gondar
GDT;Cockburn Town
GED;Georgetown
GEG;Spokane
GEO;Georgetown
GFF;Griffith
GFK;Grand Forks
GGE;Georgetown
GGG;Longview
GGW;Glasgow
GIB;Gibraltar
GJT;Grand Junction
GKA;Goroka
GLA;Glasgow
GLH;Greenville
GLT;Gladstone
GMU;Greenville
GNV;Gainesville
GNY;Sanliurfa
GOI;Goa
GOM;Goma
GOQ;Golmud
GPT;Gulfport
GRB;Green Bay
GRI;Grand Island
GRJ;George
GRK;Killeen
GRO;Gerona
GRR;Grand Rapids
GRX;Granada
GRZ;Graz
GSO;Greensboro
GSP;Greenville
GTE;Groote Eylandt
GTF;Great Falls
GTU;Georgetown
GVL;Gainesville
GWL;Gwalior
GYE;Guayaquil
GYH;Greenville
GYS;Guangyuan
GZO;Gizo
GZT;Gaziantep
HAD;Halmstad
HAH;Moroni
HAJ;Hannover
HAK;Haikou
HAS;Hail
HAU;Haugesund
HBA;Hobart
HBE;Alexandria
HBR;Hobart
HDG;Handan
HDH;Dillingham
HDI;Cleveland
HDY;Hat Yai
HEK;Heihe
HEL;Helsinki
HEM;Helsinki
HEN;Helsinki
HET;Hohhot
HEX;Santo Domingo
HFD;Hartford
HFE;Hefei
HFS;Hagfors
HFT;Hammerfest
HGA;Hargeisa
HGH;Hangzhou
HGR;Hagerstown
HGS;Freetown
HGU;Mount Hagen
HHH;Hilton Head Island
HIB;Hibbing
HID;Horn Island
HIF;Ogden
HIJ;Hiroshima
HIR;Honiara
HIW;Hiroshima
HJR;Khajuraho
HKD;Hakodate
HKG;Hong Kong
HKN;Hoskins
HKT;Phuket
HLD;Hailar
HLH;Ulanhot
HLN;Helena
HME;Hassi Messaoud
HMO;Hermosillo
HNA;Hanamaki
HNL;Honolulu
HNM;Hana
HOB;Hobbs
HOM;Homer
HOR;Horta
HRB;Harbin
HRE;Harare
HRL;Harlingen
HSN;Zhoushan
HSV;Huntsville
HTS;Huntington
HTV;Huntsville
HVN;New Haven
IAB;Wichita
IAG;Niagara Falls
IBR;Ibaraki
IBZ;Ibiza
ICT;Wichita
IDA;Idaho Falls
IDR;Indore
IGQ;Lansing
IIL;Ilam
IKS;Tiksi
IKT;Irkutsk
ILG;Wilmington
ILM;Wilmington
ILN;Wilmington
ILR;Ilorin
IMT;Iron Mountain
INC;Yinchuan
ING;El Calafate
INL;International Falls
INN;Innsbruck
INV;Inverness
INZ;In Salah
IPA;Ipota
IPH;Ipoh
IPT;Williamsport
IQN;Qingyang
IQQ;Iquique
IQT;Iquitos
IRJ;La Rioja
ISA;Mount Isa
ISG;Ishigaki
ISN;Williston
ISP;Islip
ITH;Ithaca
ITO;Hilo
IVL;Ivalo
IXA;Agartala
IXC;Chandigarh
IXE;Mangalore
IXJ;Jammu
IXL;Leh
IXM;Madurai
IXR;Ranchi
IXS;Silchar
IXU;Aurangabad
IXZ;Port Blair
IZA;Juiz de Fora
IZO;Izumo
JAD;Perth
JAI;Jaipur
JAN;Jackson
JAV;Ilulissat
JAX;Jacksonville
JCK;Julia Creek
JDH;Jodhpur
JDZ;Jingdezhen
JEG;Aasiaat
JER;Jersey
JGA;Jamnagar
JGN;Jiayuguan
JHB;Johor Bahru
JHS;Sisimiut
JIJ;Jijiga
JJN;Quanzhou
JLN;Joplin
JLR;Jabalpur
JMU;Jiamusi
JNG;Jining
JNU;Juneau
JOE;Joensuu
JOG;Yogyakarta
JOI;Joinville
JPR;Ji-Paraná
JRO;Kilimanjaro
JSU;Maniitsoq
JTC;Bauru
JUL;Juliaca
JUV;Upernavik
JUZ;Quzhou
JXA;Jixi
JXN;Jackson
JZI;Charleston
KAD;Kaduna
KAJ;Kajaani
KAN;Kano
KAO;Kuusamo
KBL;Kabul
KBV;Krabi
KCH;Kuching
KDH;Kandahar
KDI;Kendari
KEM;Kemi
KEP;Nepalgunj
KFP;False Pass
KGC;Kingscote
KGI;Kalgoorlie
KGL;Kigali
KHH;Kaohsiung
KHI;Karachi
KHN;Nanchang
KIJ;Niigata
KIN;Kingston
KJA;Krasnoyarsk
KKC;Khon Kaen
KKJ;Kitakyushu
KKN;Kirkenes
KLO;Kalibo
KMI;Miyazaki
KMJ;Kumamoto
KMS;Kumasi
KNH;Kinmen
KNX;Kununurra
KOE;Kupang
KOI;Kirkwall
KOJ;Kagoshima
KOV;Kokshetau
KOW;Ganzhou
KQA;Akutan
KRL;Korla
KRN;Kiruna
KRR;Krasnodar
KRS;Kristiansand
KRY;Karamay
KSU;Kristiansund
KSY;Kars
KTN;Ketchikan
KTP;Kingston
KTW;Katowice
KUA;Kuantan
KUD;Kudat
KUF;Samara
KUH;Kushiro
KUL;Kuala Lumpur
KUN;Kaunas
KUO;Kuopio
KVC;King Cove
KVG;Kavieng
KWA;Kwajalein
KWE;Guiyang
KWI;Kuwait
KWL;Guilin
KYA;Konya
LAD;Luanda
LAF;Lafayette
LAN;Lansing
LAP;La Paz
LAS;Las Vegas
LAU;Lamu
LAW;Lawton
LBA;Leeds
LBB;Lubbock
LBE;Latrobe
LBV;Libreville
LCH;Lake Charles
LCK;Columbus
LCY;London
LDB;Londrina
LDU;Lahad Datu
LDY;Londonderry
LEC;Lençóis
LEJ;Leipzig
LET;Leticia
LEW;Lewiston
LFT;Lafayette
LGB;Long Beach
LGW;London
LHD;Anchorage
LHE;Lahore
LHM;Lincoln
LHR;London
LHW;Lanzhou
LIG;Limoges
LIL;Lille
LIM;Lima
LIR;Liberia
LIT;Little Rock
LJG;Lijiang
LKH;Long Akah
LKO;Lucknow
LMM;Los Mochis
LMN;Limbang
LNA;West Palm Beach
LNK;Lincoln
LNY;Lanai
LNZ;Linz
LOP;Praya
LOS;Lagos
LOU;Louisville
LOZ;London
LPB;La Paz
LPL;Liverpool
LPQ;Luang Prabang
LRD;Laredo
LRE;Longreach
LRF;Jacksonville
LRH;La Rochelle
LRM;La Romana
LRR;Lar
LSC;La Serena
LSE;La Crosse
LST;Launceston
LSV;Las Vegas
LSY;Lismore
LTN;London
LTO;Loreto
LUG;Lugano
LUK;Cincinnati
LUN;Lusaka
LUO;Luena
LUQ;San Luis
LUW;Luwuk
LVI;Livingstone
LVS;Las Vegas
LWS;Lewiston
LWY;Lawas
LXA;Lhasa
LXG;Luang Namtha
LXN;Lexington
LXR;Luxor
LYA;Luoyang
LYG;Lianyungang
LYH;Lynchburg
LYI;Linyi
LYN;Lyon
LYS;Lyon
LZH;Liuzhou
LZY;Nyingchi
MAD;Madrid
MAF;Midland
MAG;Madang
MAH;Menorca
MAJ;Majuro
MAR;Maracaibo
MAU;Maupiti
MBA;Mombasa
MBJ;Montego Bay
MBS;Saginaw
MBW;Melbourne
MCC;Sacramento
MCF;Tampa
MCI;Kansas City
MDC;Manado
MDG;Mudanjiang
MDL;Mandalay
MDT;Harrisburg
MDW;Chicago
MDZ;Mendoza
MEB;Melbourne
MEC;Manta
MEH;Mehamn
MEL;Melbourne
MEM;Memphis
MFR;Medford
MFX;Ajaccio
MGA;Managua
MGB;Mount Gambier
MGJ;Montgomery
MGY;Dayton
MHD;Mashhad
MHK;Manhattan
MHP;Minsk
MHQ;Mariehamn
MHR;Sacramento
MIA;Miami
MIB;Minot
MIG;Mianyang
MII;Marília
MIM;Merimbula
MIR;Monastir
MIS;Misima Island
MKC;Kansas City
MKE;Milwaukee
MKG;Muskegon
MKL;Jackson
MKM;Mukah
MKP;Makemo
MKW;Manokwari
MKY;Mackay
MLA;Malta
MLB;Melbourne
MLG;Malang
MLI;Moline
MLM;Morelia
MLU;Monroe
MLW;Monrovia
MLX;Malatya
MNG;Maningrida
MNL;Manila
MOB;Mobile
MOC;Montes Claros
MOL;Molde
MOT;Minot
MOV;Moranbah
MOZ;Moorea
MPL;Montpellier
MPM;Maputo
MQL;Mildura
MQM;Mardin
MRI;Anchorage
MRV;Mineralnye Vody
MRZ;Moree
MSN;Madison
MSO;Missoula
MST;Maastricht
MTS;Manzini
MTY;Monterrey
MUB;Maun
MUR;Marudi
MVD;Montevideo
MWC;Milwaukee
MWZ;Mwanza
MXF;Montgomery
MXL;Mexicali
MYA;Moruya
MYD;Malindi
MYJ;Matsuyama
MYR;Myrtle Beach
MYY;Miri
MZL;Manizales
MZO;Manzanillo
N/A;Caracas
NAG;Nagpur
NAO;Nanchong
NBO;Nairobi
NCU;Nukus
NDG;Qiqihar
NDU;Rundu
NGP;Corpus Christi
NGS;Nagasaki
NGU;Norfolk
NHV;Nuku Hiva
NHZ;Brunswick
NIB;Nikolai
NIM;Niamey
NLA;Ndola
NLD;Nuevo Laredo
NLO;Kinshasa
NLP;Nelspruit
NNB;Santa Ana
NNG;Nanning
NNY;Nanyang
NOJ;Noyabrsk
NOV;Huambo
NOZ;Novokuznetsk
NPA;Pensacola
NQT;Nottingham
NRA;Narrandera
NSN;Nelson
NTE;Nantes
NTQ;Wajima
NTR;Monterrey
NUS;Norsup
NVA;Neiva
NVK;Narvik
NVT;Navegantes
NWI;Norwich
NYK;Nanyuki
NYM;Nadym
NZY;San Diego
OAK;Oakland
OAL;Cacoal
OBO;Obihiro
ODN;Long Seridan
ODY;Muang Xay
OFF;Omaha
OGD;Ogden
OGG;Kahului
OGL;Georgetown
OGX;Ouargla
OKC;Oklahoma City
OKJ;Okayama
OLB;Olbia
OLU;Columbus
OMA;Omaha
OMD;Oranjemund
OME;Nome
OMR;Oradea
OMS;Omsk
ONT;Ontario
OPF;Miami
OPS;Sinop
ORD;Chicago
ORF;Norfolk
ORG;Paramaribo
ORH;Worcester
ORK;Cork
OSD;Östersund
OSI;Osijek
OSL;Oslo
OSR;Ostrava
OSU;Columbus
OTZ;Kotzebue
OUL;Oulu
OVB;Novosibirsk
OWB;Owensboro
OZP;Sevilla
PAD;Paderborn
PAM;Panama City
PBG;Plattsburgh
PBI;West Palm Beach
PBO;Paraburdoo
PCL;Pucallpa
PDG;Padang
PDK;Atlanta
PDL;Ponta Delgada
PDP;Punta del Este
PDV;Plovdiv
PDX;Portland
PEE;Perm
PEG;Perugia
PEI;Pereira
PEN;Penang
PER;Perth
PET;Pelotas
PEU;Puerto Lempira
PEW;Peshawar
PFB;Passo Fundo
PFN;Panama City
PGD;Punta Gorda
PGK;Pangkal Pinang
PGV;Greenville
PHF;Newport News
PHS;Phitsanulok
PIA;Peoria
PIH;Pocatello
PIS;Poitiers
PIT;Pittsburgh
PIU;Piura
PKE;Parkes
PKN;Pangkalan Bun
PKU;Pekanbaru
PKY;Palangkaraya
PKZ;Pakse
PLM;Palembang
PLN;Pellston
PLO;Port Lincoln
PLQ;Palanga
PLS;Providenciales
PLW;Palu
PLZ;Port Elizabeth
PMC;Puerto Montt
PMI;Palma de Mallorca
PML;Cold Bay
PMO;Palermo
PMR;Palmerston North
PMV;Porlamar
PMW;Palmas
PNK;Pontianak
PNQ;Pune
PNS;Pensacola
PNZ;Petrolina
POA;Porto Alegre
POP;Puerto Plata
POZ;Poznan
PPG;Pago Pago
PQQ;Port Macquarie
PRI;Praslin
PRN;Pristina
PSA;Pisa
PSC;Pasco
PSE;Ponce
PSG;Petersburg
PSL;Perth
PSM;Portsmouth
PSO;Pasto
PSP;Palm Springs
PSR;Pescara
PSS;Posadas
PTB;Petersburg
PTJ;Portland
PTY;Panama City
PUF;Pau
PUJ;Punta Cana
PUQ;Punta Arenas
PUS;Busan
PUW;Pullman
PUY;Pula
PVD;Providence
PVH;Porto Velho
PVR;Puerto Vallarta
PVU;Provo
PWM;Portland
PWQ;Pavlodar
PXO;Porto Santo
PZB;Pietermaritzburg
RAJ;Rajkot
RAK;Marrakech
RAP;Rapid City
RAS;Rasht
RBA;Rabat
RCA;Rapid City
RCM;Richmond
RCS;Rochester
REC;Recife
REL;Trelew
RES;Resistencia
REU;Reus
REX;Reynosa
RGI;Rangiroa
RGS;Burgos
RHI;Rhinelander
RIA;Santa Maria
RIC;Richmond
RID;Richmond
RIX;Riga
RLK;Bayannur
RML;Colombo
RMQ;Taichung
RNB;Ronneby
RND;San Antonio
RNO;Reno
RNS;Rennes
ROB;Monrovia
ROC;Rochester
ROK;Rockhampton
ROS;Rosario
ROT;Rotorua
ROW;Roswell
RPR;Raipur
RSA;Santa Rosa
RST;Rochester
RSU;Yeosu
RSW;Fort Myers
RTA;Rotuma
RVD;Rio Verde
RVN;Rovaniemi
RVS;Tulsa
RVV;Raivavae
RYY;Atlanta
RZR;Ramsar
SAC;Sacramento
SAF;Santa Fe
SAL;San Salvador
SAN;San Diego
SAP;San Pedro Sula
SAT;San Antonio
SAV;Savannah
SBN;South Bend
SBP;San Luis Obispo
SBW;Sibu
SBZ;Sibiu
SCK;Stockton
SCL;Santiago
SCO;Aktau
SCQ;Santiago
SDD;Lubango
SDF;Louisville
SDG;Sanandaj
SDJ;Sendai
SDK;Sandakan
SDL;Sundsvall
SDM;San Diego
SDN;Sandane
SDP;Sand Point
SDQ;Santo Domingo
SDR;Santander
SEA;Seattle
SFF;Spokane
SFN;Santa Fe
SFO;San Francisco
SFQ;Sanliurfa
SGF;Springfield
SGH;Springfield
SHB;Nakashibetsu
SHE;Shenyang
SHJ;Sharjah
SHL;Shillong
SHV;Shreveport
SIC;Sinop
SIG;San Juan
SIT;Sitka
SJJ;Sarajevo
SJT;San Angelo
SJU;San Juan
SJW;Shijiazhuang
SKA;Spokane
SKF;San Antonio
SKO;Sokoto
SKT;Sialkot
SKZ;Sukkur
SLA;Salta
SLC;Salt Lake City
SLH;Sola
SLL;Salalah
SLW;Saltillo
SMF;Sacramento
SMR;Santa Marta
SMX;Santa Maria
SNA;Santa Ana
SNN;Shannon
SNO;Sakon Nakhon
SNU;Santa Clara
SOG;Sogndal
SOQ;Sorong
SOU;Southampton
SPI;Springfield
SPP;Menongue
SPS;Wichita Falls
SPU;Split
SRA;Santa Rosa
SRE;Sucre
SRG;Semarang
SRP;Stord
SRQ;Sarasota
SSA;Salvador
SSG;Malabo
SSI;Brunswick
STD;Santo Domingo
STI;Santiago
STN;London
STP;St. Paul
STR;Stuttgart
STS;Santa Rosa
STV;Surat
SUB;Surabaya
SUJ;Satu Mare
SUX;Sioux City
SVG;Stavanger
SVJ;Svolvær
SVQ;Sevilla
SVU;Savusavu
SVZ;San Antonio
SWA;Shantou
SWF;Newburgh
SXR;Srinagar
SYD;Sydney
SYR;Syracuse
SYX;Sanya
SYZ;Shiraz
SZA;Soyo
SZB;Kuala Lumpur
SZX;Shenzhen
SZZ;Szczecin
TAG;Tagbilaran
TAH;Tanna
TAK;Takamatsu
TAM;Tampico
TAO;Qingdao
TAP;Tapachula
TAY;Tartu
TBG;Tabubil
TBP;Tumbes
TBT;Tabatinga
TBZ;Tabriz
TCG;Tacheng
TCO;Tumaco
TCQ;Tacna
TGD;Podgorica
TGG;Kuala Terengganu
TGO;Tongliao
TGR;Touggourt
TGU;Tegucigalpa
THE;Teresina
TIA;Tirana
TIF;Taif
TIH;Tikehau
TIJ;Tijuana
TIK;Oklahoma City
TIU;Timaru
TIV;Tivat
TJA;Tarija
TJQ;Tanjung Pandan
TKU;Turku
TLH;Tallahassee
TLS;Toulouse
TML;Tamale
TMM;Toamasina
TMP;Tampere
TMR;Tamanrasset
TNA;Jinan
TNN;Tainan
TNR;Antananarivo
TNT;Miami
TOB;Tobruk
TOF;Tomsk
TOJ;Madrid
TOL;Toledo
TOW;Toledo
TOY;Toyama
TPA;Tampa
TPF;Tampa
TPP;Tarapoto
TPQ;Tepic
TPS;Trapani
TRD;Trondheim
TRG;Tauranga
TRM;Palm Springs
TRZ;Tiruchirappalli
TSN;Tianjin
TST;Trang
TSV;Townsville
TTN;Trenton
TUB;Tubuai
TUF;Tours
TUK;Turbat
TUL;Tulsa
TUS;Tucson
TUU;Tabuk
TVC;Traverse City
TWF;Twin Falls
TWU;Tawau
TXG;Taichung
TXK;Texarkana
TXN;Huangshan
TYR;Tyler
TYS;Knoxville
TZR;Columbus
UAB;Adana
UAH;Ua Huka
UAP;Ua Pou
UBA;Uberaba
UDD;Palm Springs
UDR;Udaipur
UGC;Urgench
UGN;Chicago
UIO;Quito
UKA;Ukunda
ULK;Lensk
UNG;Kiunga
UNK;Unalakleet
UPN;Uruapan
USH;Ushuaia
USM;Ko Samui
UTH;Udon Thani
UTN;Upington
UTP;Pattaya
UTW;Queenstown
UYF;London
VAA;Vaasa
VAD;Valdosta
VAN;Van
VAR;Varna
VAS;Sivas
VAW;Vardø
VCT;Victoria
VDM;Viedma
VDS;Vadsø
VDZ;Valdez
VFA;Victoria Falls
VGA;Vijayawada
VGO;Vigo
VGT;Las Vegas
VHC;Saurimo
VIG;El Vigía
VII;Vinh
VIR;Durban
VLC;Valencia
VLD;Valdosta
VLL;Valladolid
VLN;Valencia
VLS;Valesdir
VRA;Varadero
VSA;Villahermosa
VUP;Valledupar
VVC;Villavicencio
VVO;Vladivostok
WBW;Wilkes-Barre
WDH;Windhoek
WEF;Weifang
WGA;Wagga Wagga
WIL;Nairobi
WJR;Wajir
WJU;Wonju
WKJ;Wakkanai
WLG;Wellington
WMN;Maroantsetra
WMX;Wamena
WNZ;Wenzhou
WRG;Wrangell
WUA;Wuhai
WUH;Wuhan
WUX;Wuxi
WVB;Walvis Bay
WWK;Wewak
XIC;Xichang
XIL;Xilinhot
XIY;Xi'an
XMH;Manihi
XMN;Xiamen
XNN;Xining
XUZ;Xuzhou
YAG;Fort Frances
YAK;Yakutat
YAV;Winnipeg
YAW;Halifax
YBL;Campbell River
YCD;Nanaimo
YCG;Castlegar
YCU;Yuncheng
YDF;Deer Lake
YEE;Midland
YEG;Edmonton
YFC;Fredericton
YFO;Flin Flon
YGK;Kingston
YHD;Dryden
YHU;Montreal
YHY;Hay River
YHZ;Halifax
YIC;Yichun
YIH;Yichang
YIP;Detroit
YIW;Yiwu
YKA;Kamloops
YKF;Waterloo
YKM;Yakima
YKS;Yakutsk
YLW;Kelowna
YMX;Montreal
YNJ;Yanji
YNZ;Yancheng
YOW;Ottawa
YPY;Fort Chipewyan
YQB;Quebec
YQD;The Pas
YQG;Windsor
YQL;Lethbridge
YQM;Moncton
YQQ;Comox
YQR;Regina
YQT;Thunder Bay
YQU;Grande Prairie
YQX;Gander
YQY;Sydney
YQZ;Quesnel
YRL;Red Lake
YRO;Ottawa
YRP;Ottawa
YSM;Fort Smith
YTH;Thompson
YTR;Trenton
YTS;Timmins
YTY;Yangzhou
YUL;Montreal
YVA;Moroni
YVR;Vancouver
YVZ;Deer Lake
YWG;Winnipeg
YWH;Victoria
YWJ;Deline
YWK;Wabush
YWL;Williams Lake
YXC;Cranbrook
YXD;Edmonton
YXE;Saskatoon
YXH;Medicine Hat
YXL;Sioux Lookout
YXS;Prince George
YXT;Terrace
YXU;London
YXX;Abbotsford
YXY;Whitehorse
YYB;North Bay
YYC;Calgary
YYD;Smithers
YYF;Penticton
YYG;Charlottetown
YYJ;Victoria
YZF;Yellowknife
YZP;Sandspit
YZR;Sarnia
ZAG;Zagreb
ZAM;Zamboanga
ZAT;Zhaotong
ZAZ;Zaragoza
ZBF;Bathurst
ZCL;Zacatecas
ZCO;Temuco
ZFA;Faro
ZFN;Tulita
ZGF;Grand Forks
ZHA;Zhanjiang
ZIC;Victoria
ZLO;Manzanillo
ZNA;Nanaimo
ZNE;Newman
ZSA;Cockburn Town
ZSW;Prince Rupert
ZUH;Zhuhai
ZVK;Savannakhet
ZYI;Zunyi
